id,data_inversa,dia_semana,horario,uf,br,km,municipio,causa_principal,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,latitude,longitude,total_vitimas,n_mortos,n_feridos_graves,n_feridos_leves,n_ilesos,n_ignorados,indice_gravidade,gravidade_cat,tracado_simplificado,pista_tipo,area_tipo,clima_adverso,periodo_dia,municipio_clean
572018,2024-01-01,segunda-feira,21:00:00,GO,60,8    ,SANTO ANTONIO DO DESCOBERTO,Não,Pista Escorregadia,Saída de leito carroçável,Sem Vítimas,Plena Noite,Crescente,Chuva,Dupla,Reta,Não  ,-16.108703,-48.29952,20,0,0,0,10,10,0,Sem_Lesoes,Reta,Simples,Rural,Adverso,Noite,SANTO ANTONIO DO DESCOBERTO
572065,2024-01-02,terça-feira,08:30:00,DF,60,11   ,BRASILIA,Sim,Acumulo de óleo sobre o pavimento,Queda de ocupante de veículo,Com Vítimas Feridas,Pleno dia,Decrescente,Chuva,Dupla,Reta,Sim  ,-15.911784,-48.157192,2,0,0,2,0,0,2,Leve,Reta,Simples,Urbana,Adverso,Dia,BRASILIA
572569,2024-01-04,quinta-feira,12:12:00,DF,60,28   ,BRASILIA,Não,Demais falhas mecânicas ou elétricas,Capotamento,Com Vítimas Feridas,Pleno dia,Crescente,Chuva,Dupla,Curva,Não  ,-16.020638,-48.250832,36,0,0,27,9,0,27,Leve,Curva,Simples,Rural,Adverso,Dia,BRASILIA
572657,2024-01-04,quinta-feira,21:15:00,GO,20,138  ,FLORES DE GOIAS,Não,Ausência de reação do condutor,Capotamento,Com Vítimas Fatais,Plena Noite,Crescente,Chuva,Simples,Reta,Não  ,-14.786891,-46.694374,36,18,0,18,0,0,90,Fatal,Reta,Simples,Rural,Adverso,Noite,FLORES DE GOIAS
572668,2024-01-04,quinta-feira,22:52:00,GO,80,2    ,PADRE BERNARDO,Sim,Demais falhas na via,Capotamento,Com Vítimas Feridas,Plena Noite,Crescente,Nevoeiro/Neblina,Simples,Interseção de Vias;Declive,Não  ,-15.502505,-48.21132,2,0,0,2,0,0,2,Leve,Inclinacao,Simples,Rural,Adverso,Noite,PADRE BERNARDO
572830,2024-01-05,sexta-feira,19:30:00,GO,251,"20,1 ",CRISTALINA,Não,Reação tardia ou ineficiente do condutor,Tombamento,Com Vítimas Feridas,Plena Noite,Crescente,Nublado,Simples,Reta,Não  ,-16.1620858,-47.477932,18,0,0,12,6,0,12,Leve,Reta,Simples,Rural,Normal,Noite,CRISTALINA
572994,2024-01-06,sábado,17:46:00,DF,20,"22,4 ",BRASILIA,Não,Avarias e/ou desgaste excessivo no pneu,Tombamento,Com Vítimas Feridas,Anoitecer,Decrescente,Chuva,Dupla,Declive,Não  ,-15.59834,-47.676186,45,0,0,27,18,0,27,Leve,Inclinacao,Simples,Rural,Adverso,Transicao,BRASILIA
582216,2024-02-20,terça-feira,06:30:00,GO,20,182  ,SIMOLANDIA,Não,Velocidade Incompatível,Tombamento,Sem Vítimas,Pleno dia,Decrescente,Garoa/Chuvisco,Dupla,Reta,Sim  ,-14.463847,-46.480179,6,0,0,0,2,4,0,Sem_Lesoes,Reta,Simples,Urbana,Adverso,Dia,SIMOLANDIA
573228,2024-01-07,domingo,17:20:00,GO,20,"143,9",FLORES DE GOIAS,Não,Acumulo de água sobre o pavimento,Colisão frontal,Com Vítimas Fatais,Pleno dia,Decrescente,Nublado,Simples,Curva,Não  ,-14.751895,-46.65666,24,3,6,3,3,9,27,Fatal,Curva,Simples,Rural,Normal,Dia,FLORES DE GOIAS
573285,2024-01-08,segunda-feira,02:00:00,DF,20,5    ,BRASILIA,Não,Iluminação deficiente,Atropelamento de Animal,Sem Vítimas,Plena Noite,Crescente,Nublado,Dupla,Aclive;Ponte;Reta,Sim  ,-15.670546,-47.816044,45,0,0,0,45,0,0,Sem_Lesoes,Inclinacao,Simples,Urbana,Normal,Noite,BRASILIA
573297,2024-01-08,segunda-feira,06:30:00,DF,40,"4,8  ",BRASILIA,Não,Pista Escorregadia,Queda de ocupante de veículo,Com Vítimas Feridas,Pleno dia,Decrescente,Nublado,Dupla,Reta,Sim  ,-16.012033,-47.982124,6,0,0,3,0,3,3,Leve,Reta,Simples,Urbana,Normal,Dia,BRASILIA
573407,2024-01-08,segunda-feira,16:34:00,DF,20,"40,5 ",BRASILIA,Não,Chuva,Capotamento,Com Vítimas Feridas,Pleno dia,Decrescente,Chuva,Dupla,Aclive,Não  ,-15.581552,-47.508035,8,0,0,4,4,0,4,Leve,Inclinacao,Simples,Rural,Adverso,Dia,BRASILIA
573425,2024-01-08,segunda-feira,18:00:00,DF,20,13   ,BRASILIA,Sim,Acumulo de água sobre o pavimento,Colisão com objeto,Sem Vítimas,Pleno dia,Crescente,Chuva,Dupla,Reta,Sim  ,-15.638752,-47.749599,2,0,0,0,2,0,0,Sem_Lesoes,Reta,Simples,Urbana,Adverso,Dia,BRASILIA
