id;pesid;data_inversa;dia_semana;horario;uf;br;km;municipio;causa_principal;causa_acidente;ordem_tipo_acidente;tipo_acidente;classificacao_acidente;fase_dia;sentido_via;condicao_metereologica;tipo_pista;tracado_via;uso_solo;id_veiculo;tipo_veiculo;marca;ano_fabricacao_veiculo;tipo_envolvido;estado_fisico;idade;sexo;ilesos;feridos_leves;feridos_graves;mortos;latitude;longitude;regional;delegacia;uop
571796;"1269004   ";2024-01-01;segunda-feira;03:50:00;DF;"60   ";"0,9  ";BRASILIA;Sim;Acessar a via sem observar a presença dos outros veículos;1;Atropelamento de Pedestre;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Dupla;Reta;Sim  ;"1018238   ";Automóvel;VW/GOL 1.0L MC4;"2018      ";Condutor;Ileso;"22   ";Masculino;"1 ";"0    ";"0    ";"0    ";-15.8843670;-48.0680750;SPRF-DF;DEL03-DF;UOP01-DEL03-DF 
571796;"1269005   ";2024-01-01;segunda-feira;03:50:00;DF;"60   ";"0,9  ";BRASILIA;Sim;Acessar a via sem observar a presença dos outros veículos;1;Atropelamento de Pedestre;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Dupla;Reta;Sim  ;"1018238   ";Automóvel;VW/GOL 1.0L MC4;"2018      ";Passageiro;Ileso;"19   ";Feminino;"1 ";"0    ";"0    ";"0    ";-15.8843670;-48.0680750;SPRF-DF;DEL03-DF;UOP01-DEL03-DF 
571796;"1269006   ";2024-01-01;segunda-feira;03:50:00;DF;"60   ";"0,9  ";BRASILIA;Sim;Acessar a via sem observar a presença dos outros veículos;1;Atropelamento de Pedestre;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Dupla;Reta;Sim  ;"0         ";"0";NA/NA;"0         ";Pedestre;Lesões Graves;"18   ";Masculino;"0 ";"0    ";"1    ";"0    ";-15.8843670;-48.0680750;SPRF-DF;DEL03-DF;UOP01-DEL03-DF 
571823;"1269071   ";2024-01-01;segunda-feira;06:40:00;GO;"60   ";"36   ";ALEXANIA;Não;Ingestão de álcool pelo condutor;2;Colisão com objeto;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;Curva;Não  ;"1018286   ";Automóvel;CHEV/ONIX PLUS JOY BLACK;"2021      ";Condutor;Lesões Graves;"24   ";Feminino;"0 ";"0    ";"1    ";"0    ";-16.1119000;-48.5299000;SPRF-DF;DEL03-DF;UOP01-DEL03-DF 
571823;"1269071   ";2024-01-01;segunda-feira;06:40:00;GO;"60   ";"36   ";ALEXANIA;Sim;Condutor Dormindo;2;Colisão com objeto;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;Curva;Não  ;"1018286   ";Automóvel;CHEV/ONIX PLUS JOY BLACK;"2021      ";Condutor;Lesões Graves;"24   ";Feminino;"0 ";"0    ";"1    ";"0    ";-16.1119000;-48.5299000;SPRF-DF;DEL03-DF;UOP01-DEL03-DF 
571823;"1269071   ";2024-01-01;segunda-feira;06:40:00;GO;"60   ";"36   ";ALEXANIA;Não;Ingestão de álcool pelo condutor;1;Saída de leito carroçável;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;Curva;Não  ;"1018286   ";Automóvel;CHEV/ONIX PLUS JOY BLACK;"2021      ";Condutor;Lesões Graves;"24   ";Feminino;"0 ";"0    ";"1    ";"0    ";-16.1119000;-48.5299000;SPRF-DF;DEL03-DF;UOP01-DEL03-DF 
571823;"1269071   ";2024-01-01;segunda-feira;06:40:00;GO;"60   ";"36   ";ALEXANIA;Sim;Condutor Dormindo;1;Saída de leito carroçável;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;Curva;Não  ;"1018286   ";Automóvel;CHEV/ONIX PLUS JOY BLACK;"2021      ";Condutor;Lesões Graves;"24   ";Feminino;"0 ";"0    ";"1    ";"0    ";-16.1119000;-48.5299000;SPRF-DF;DEL03-DF;UOP01-DEL03-DF 
571824;"1271009   ";2024-01-01;segunda-feira;07:20:00;DF;"20   ";"22   ";BRASILIA;Sim;Ausência de reação do condutor;1;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;Reta;Sim  ;"1019537   ";Automóvel;HONDA/CIVIC EX CVT;"2017      ";Condutor;Ileso;"35   ";Masculino;"1 ";"0    ";"0    ";"0    ";-15.5983400;-47.6761860;SPRF-DF;DEL02-DF;UOP01-DEL02-DF 
571824;"1271023   ";2024-01-01;segunda-feira;07:20:00;DF;"20   ";"22   ";BRASILIA;Sim;Ausência de reação do condutor;1;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;Reta;Sim  ;"1019544   ";Motocicleta;HONDA/CB 500X;"2021      ";Condutor;Lesões Leves;"36   ";Masculino;"0 ";"1    ";"0    ";"0    ";-15.5983400;-47.6761860;SPRF-DF;DEL02-DF;UOP01-DEL02-DF 
571946;"1269315   ";2024-01-01;segunda-feira;18:10:00;GO;"70   ";"6    ";AGUAS LINDAS DE GOIAS;Sim;Trafegar com motocicleta (ou similar) entre as faixas;3;Tombamento;Com Vítimas Feridas;Anoitecer;Decrescente;Céu Claro;Dupla;Reta;Sim  ;"1018449   ";Motocicleta;KAWASAKI/NINJA 300;"2013      ";Condutor;Lesões Leves;"51   ";Masculino;"0 ";"1    ";"0    ";"0    ";-15.7504938;-48.2612381;SPRF-DF;DEL03-DF;UOP02-DEL03-DF 
