,total_vitimas,total_vitimas,total_vitimas,n_mortos,n_mortos,n_feridos_graves,n_feridos_graves,n_feridos_leves,n_feridos_leves,indice_gravidade,indice_gravidade
,count,mean,std,sum,mean,sum,mean,sum,mean,mean,std
cluster,,,,,,,,,,,
0,12,2.75,1.48,0.0,0.0,0.0,0.0,12.0,1.0,1.0,1.28
1,43,2.47,1.35,2.0,0.05,26.0,0.6,35.0,0.81,2.3,1.41
2,18,3.28,2.56,2.65,0.15,1.0,0.06,32.0,1.78,2.5,2.62
3,25,2.76,1.67,5.65,0.23,6.0,0.24,25.0,1.0,2.44,2.35
4,20,2.85,1.53,14.65,0.73,3.0,0.15,16.0,0.8,4.15,2.28
5,43,2.3,1.39,0.0,0.0,9.0,0.21,31.0,0.72,1.14,0.89
6,8,1.38,0.52,0.0,0.0,0.0,0.0,5.0,0.62,0.62,0.52
7,20,2.78,2.59,0.0,0.0,0.0,0.0,8.0,0.4,0.4,0.68
8,35,3.01,2.25,0.0,0.0,4.0,0.11,34.0,0.97,1.26,1.2
9,12,2.33,1.07,0.0,0.0,6.0,0.5,7.0,0.58,1.58,1.08
