Cluster,Rank,Causa,N,Proporção_%
0,1,Pista Escorregadia,3,25.0
0,2,Acumulo de água sobre o pavimento,2,16.666666666666664
0,3,Acumulo de óleo sobre o pavimento,1,8.333333333333332
1,1,Iluminação deficiente,8,18.6046511627907
1,2,Acesso irregular,5,11.627906976744185
1,3,Pista Escorregadia,4,9.30232558139535
1,4,Demais falhas na via,2,4.651162790697675
1,5,Falta de elemento de contenção que evite a saída do leito carroçável,2,4.651162790697675
2,1,Pista Escorregadia,4,22.22222222222222
2,2,Acumulo de água sobre o pavimento,3,16.666666666666664
2,3,Iluminação deficiente,2,11.11111111111111
2,4,Demais falhas na via,1,5.555555555555555
2,5,Acumulo de areia ou detritos sobre o pavimento,1,5.555555555555555
3,1,Iluminação deficiente,4,16.0
3,2,Falta de elemento de contenção que evite a saída do leito carroçável,4,16.0
3,3,Acumulo de água sobre o pavimento,2,8.0
3,4,Declive acentuado,2,8.0
3,5,Pista Escorregadia,2,8.0
4,1,Iluminação deficiente,3,15.0
4,2,Pista Escorregadia,2,10.0
4,3,Demais falhas na via,1,5.0
4,4,Falta de acostamento,1,5.0
4,5,Falta de elemento de contenção que evite a saída do leito carroçável,1,5.0
5,1,Acesso irregular,7,16.27906976744186
5,2,Acumulo de areia ou detritos sobre o pavimento,4,9.30232558139535
5,3,Acumulo de óleo sobre o pavimento,3,6.976744186046512
5,4,Pista Escorregadia,3,6.976744186046512
5,5,Demais falhas na via,2,4.651162790697675
6,1,Acumulo de água sobre o pavimento,2,25.0
6,2,Acumulo de óleo sobre o pavimento,1,12.5
6,3,Curva acentuada,1,12.5
6,4,Deficiência do Sistema de Iluminação/Sinalização,1,12.5
7,1,Pista Escorregadia,4,20.0
7,2,Acumulo de água sobre o pavimento,3,15.0
7,3,Demais falhas na via,1,5.0
7,4,Acumulo de óleo sobre o pavimento,1,5.0
8,1,Acumulo de água sobre o pavimento,4,11.428571428571429
8,2,Iluminação deficiente,3,8.571428571428571
8,3,Pista Escorregadia,3,8.571428571428571
8,4,Acesso irregular,1,2.857142857142857
8,5,Acumulo de óleo sobre o pavimento,1,2.857142857142857
9,1,Acesso irregular,1,8.333333333333332
9,2,Acumulo de areia ou detritos sobre o pavimento,1,8.333333333333332
9,3,Acumulo de óleo sobre o pavimento,1,8.333333333333332
9,4,Falta de elemento de contenção que evite a saída do leito carroçável,1,8.333333333333332
9,5,Restrição de visibilidade em curvas verticais,1,8.333333333333332
