,Iluminação deficiente,Demais falhas na via,Pista esburacada,Falta de acostamento,Acesso irregular,Acumulo de água sobre o pavime,Acumulo de areia ou detritos s,Acumulo de óleo sobre o pavime,Falta de elemento de contenção,Restrição de visibilidade em c,Restrição de visibilidade em c,Sistema de drenagem ineficient,Declive acentuado,Curva acentuada,Sinalização mal posicionada,Desvio temporário,Ausência de sinalização,Afundamento ou ondulação no pa,Acostamento em desnível,Deficiência do Sistema de Ilum,Pista Escorregadia
Cluster 0,0.0,0.0,0.0,0.0,0.0,16.666666666666664,0.0,8.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
Cluster 1,18.6046511627907,4.651162790697675,0.0,0.0,11.627906976744185,2.3255813953488373,0.0,0.0,4.651162790697675,0.0,0.0,0.0,0.0,0.0,4.651162790697675,0.0,4.651162790697675,0.0,2.3255813953488373,2.3255813953488373,9.30232558139535
Cluster 2,11.11111111111111,5.555555555555555,0.0,0.0,0.0,16.666666666666664,5.555555555555555,5.555555555555555,5.555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.22222222222222
Cluster 3,16.0,4.0,0.0,0.0,4.0,8.0,0.0,0.0,16.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0
Cluster 4,15.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
Cluster 5,0.0,4.651162790697675,0.0,0.0,16.27906976744186,2.3255813953488373,9.30232558139535,6.976744186046512,2.3255813953488373,0.0,0.0,0.0,0.0,2.3255813953488373,2.3255813953488373,0.0,4.651162790697675,4.651162790697675,0.0,4.651162790697675,6.976744186046512
Cluster 6,0.0,0.0,0.0,0.0,0.0,25.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,12.5,0.0
Cluster 7,0.0,5.0,0.0,0.0,0.0,15.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
Cluster 8,8.571428571428571,0.0,0.0,0.0,2.857142857142857,11.428571428571429,0.0,2.857142857142857,2.857142857142857,0.0,0.0,0.0,2.857142857142857,0.0,2.857142857142857,2.857142857142857,0.0,0.0,2.857142857142857,0.0,8.571428571428571
Cluster 9,0.0,0.0,0.0,0.0,8.333333333333332,0.0,8.333333333333332,8.333333333333332,8.333333333333332,8.333333333333332,0.0,0.0,0.0,8.333333333333332,0.0,0.0,8.333333333333332,0.0,0.0,8.333333333333332,0.0
