Causa,N_Total,Chi²,p-valor,Cramers_V,Significativo
Iluminação deficiente,20,17.570307766977017,0.04049894867499795,0.2728561097716764,Sim
Acesso irregular,15,15.44778819052964,0.07934775544835952,0.25584512819455507,Não
Acumulo de água sobre o pavimento,18,15.245523326368216,0.08440890452324483,0.25416466141407174,Não
Acumulo de areia ou detritos sobre o pavimento,6,14.466412013631427,0.10667449385236472,0.24758504799354034,Não
Pista Escorregadia,25,10.443628336648596,0.31577811231820396,0.21036316798200738,Não
Falta de elemento de contenção que evite a saída do leito carroçável,11,10.374702590318092,0.3210109336175053,0.20966784254211018,Não
Deficiência do Sistema de Iluminação/Sinalização,6,8.559023480507808,0.47893349760848636,0.1904390943220943,Não
Acumulo de óleo sobre o pavimento,9,7.957075624172573,0.5384777052685836,0.1836203205974885,Não
Ausência de sinalização,5,7.881714151481593,0.5461092420315605,0.18274871781276644,Não
Demais falhas na via,8,3.371550840926607,0.9477279788019709,0.11952502824432905,Não
