Variavel,Categoria,Cluster_4_%,Geral_%,Over-representation
Traçado Detalhado,Reta;Declive;Em Obras,5.0,0.423728813559322,11.8
Tipo de Acidente,Atropelamento de Animal,5.0,0.847457627118644,5.9
Traçado Detalhado,Aclive;Reta,10.0,1.694915254237288,5.9
Condição Meteorológica Detalhada,Ignorado,10.0,2.5423728813559325,3.9333333333333327
Traçado Detalhado,Aclive,5.0,1.2711864406779663,3.9333333333333327
Tipo de Acidente,Colisão frontal,10.0,2.9661016949152543,3.3714285714285714
Traçado Detalhado,Reta;Aclive,15.0,4.661016949152542,3.2181818181818183
Traçado Detalhado,Curva;Aclive,5.0,1.694915254237288,2.95
Traçado Detalhado,Reta;Declive,25.0,9.322033898305085,2.6818181818181817
Período do Dia,Noite,95.0,38.13559322033898,2.491111111111111
Traçado da Via,Inclinacao,65.0,29.23728813559322,2.223188405797101
Tipo de Acidente,Saída de leito carroçável,35.0,16.52542372881356,2.117948717948718
Tipo de Acidente,Capotamento,30.0,14.83050847457627,2.022857142857143
Tipo de Área,Rural,90.0,48.728813559322035,1.8469565217391304
Dia da Semana,quarta-feira,25.0,14.83050847457627,1.685714285714286
Dia da Semana,quinta-feira,15.0,10.59322033898305,1.4160000000000001
Tipo de Pista,Multipla,5.0,3.8135593220338984,1.3111111111111111
Condição Meteorológica Detalhada,Céu Claro,60.0,49.152542372881356,1.2206896551724138
Condições Climáticas,Normal,75.0,65.2542372881356,1.1493506493506493
Traçado Detalhado,Curva,10.0,8.898305084745763,1.1238095238095238
Dia da Semana,domingo,20.0,17.796610169491526,1.1238095238095238
Dia da Semana,segunda-feira,15.0,13.983050847457626,1.0727272727272728
Tipo de Acidente,Atropelamento de Pedestre,5.0,4.661016949152542,1.0727272727272728
Condição Meteorológica Detalhada,Nublado,15.0,14.83050847457627,1.0114285714285716
Tipo de Pista,Simples,95.0,96.1864406779661,0.9876651982378855
Traçado Detalhado,Declive;Reta,5.0,5.084745762711865,0.9833333333333332
Traçado da Via,Curva,15.0,16.52542372881356,0.9076923076923076
Tipo de Acidente,Queda de ocupante de veículo,15.0,20.76271186440678,0.7224489795918367
Condições Climáticas,Adverso,25.0,34.74576271186441,0.7195121951219512
Dia da Semana,sábado,10.0,14.40677966101695,0.6941176470588235
Dia da Semana,terça-feira,10.0,15.254237288135593,0.6555555555555556
Condição Meteorológica Detalhada,Chuva,15.0,27.54237288135593,0.5446153846153846
Traçado Detalhado,Reta,20.0,41.52542372881356,0.4816326530612245
Dia da Semana,sexta-feira,5.0,13.135593220338984,0.38064516129032255
Traçado da Via,Reta,20.0,52.96610169491526,0.37759999999999994
Tipo de Área,Urbana,10.0,51.271186440677965,0.19504132231404958
Período do Dia,Dia,5.0,50.42372881355932,0.09915966386554621
