codigo_municipio_dv,codigo_municipio,nome_municipio,cd_uf,municipio_capital,longitude,latitude
"3104502","310450",Arinos,"31",Não,-46.1077520,-15.9217720
"3109303","310930",Buritis,"31",Não,-46.4240410,-15.6265050
"3109451","310945",Cabeceira Grande,"31",Não,-47.0849890,-16.0282750
"3170404","317040",Unaí,"31",Não,-46.8999570,-16.3590080
"5200100","520010",Abadiânia,"52",Não,-48.7188120,-16.1826720
"5200175","520017",Água Fria de Goiás,"52",Não,-47.7822120,-14.9855350
"5200258","520025",Águas Lindas de Goiás,"52",Não,-48.2834440,-15.7379390
"5200308","520030",Alexânia,"52",Não,-48.5096360,-16.0861680
"5200605","520060",Alto Paraíso de Goiás,"52",Não,-47.5190930,-14.1362450
"5200803","520080",Alvorada do Norte,"52",Não,-46.5156380,-14.4828390
"5203203","520320",Barro Alto,"52",Não,-48.9157070,-14.9737090
"5204003","520400",Cabeceiras,"52",Não,-46.9294760,-15.8011560
"5205307","520530",Cavalcante,"52",Não,-47.4634360,-13.7992790
"5205497","520549",Cidade Ocidental,"52",Não,-47.9371310,-16.1109590
"5205513","520551",Cocalzinho de Goiás,"52",Não,-48.7689670,-15.7817370
"5205802","520580",Corumbá de Goiás,"52",Não,-48.8103450,-15.9279050
"5206206","520620",Cristalina,"52",Não,-47.6068180,-16.7694340
"5207907","520790",Flores de Goiás,"52",Não,-47.0450830,-14.4501740
"5208004","520800",Formosa,"52",Não,-47.3358160,-15.5409450
"5208608","520860",Goianésia,"52",Não,-49.1158100,-15.3222890
"5212501","521250",Luziânia,"52",Não,-47.9557200,-16.2585410
"5213053","521305",Mimoso de Goiás,"52",Não,-48.1632730,-15.0592930
"5214606","521460",Niquelândia,"52",Não,-48.4585850,-14.4691100
"5215231","521523",Novo Gama,"52",Não,-48.0372110,-16.0560780
"5215603","521560",Padre Bernardo,"52",Não,-48.2859660,-15.1643550
"5217302","521730",Pirenópolis,"52",Não,-48.9625270,-15.8533420
"5217609","521760",Planaltina,"52",Não,-47.6148470,-15.4531100
"5219753","521975",Santo Antônio do Descoberto,"52",Não,-48.2560060,-15.9442240
"5220009","522000",São João d'Aliança,"52",Não,-47.5188020,-14.7082160
"5220686","522068",Simolândia,"52",Não,-46.4842840,-14.4703230
"5221858","522185",Valparaíso de Goiás,"52",Não,-47.9841110,-16.0695750
"5222203","522220",Vila Boa,"52",Não,-47.0573610,-15.0348890
"5222302","522230",Vila Propício,"52",Não,-48.8824220,-15.4546350
"5300108","530010",Brasília,"53",Sim,-47.8879050,-15.7940870
